,Date,User,Tweet,Hashtags,Location
0,2022-10-14 23:59:49+00:00,ShadAhmadKhan5,SHE IS MY WIFE MEHWISH Cannabis Smoker https://t.co/Nh7Cmz3SwG,,
1,2022-10-14 23:58:12+00:00,EvEnergy2030,"Aurora Cannabis Inc. $ACB Stock Rose Thursday, Outperforms Market",,"Seattle, Washington"
2,2022-10-14 23:57:07+00:00,TempleGrower,"Some absolutely CAKED Fuel D.OG from @SeedsmanSeeds. The least 'fuelly' of the three pheno's but probably my favourite. Incense, spice, sandalwood &amp; earth, and just laden with resin. Rock solid buds w/ a very Afghani growth style. Love this lady...😍🌱
#GrowYourOwn #Cannabis https://t.co/xfyqH7Jdzn","['GrowYourOwn', 'Cannabis']",Treaty 6 Territory
3,2022-10-14 23:56:48+00:00,MMPconnection,"#cannabiscommunity #marijuana #cannabis Alarming Rise in Hospital Borne Infections Underscores Applicability of Applied UV’s Disinfection Solutions  

        MOUNT VERNON, N.Y.--(BUSINESS WIRE)--Applied UV, Inc. (NasdaqCM: AUVI) (“Applied UV” or https://t.co/IUiwNpWLY8","['cannabiscommunity', 'marijuana', 'cannabis']",
4,2022-10-14 23:56:47+00:00,MMPconnection,#cannabiscommunity #marijuana #cannabis Campaign 2022: Andersen vows to end marijuana possession prosecutions if elected | Jordan https://t.co/af3uHx9Cd2 https://t.co/xO84jGd09v,"['cannabiscommunity', 'marijuana', 'cannabis']",
5,2022-10-14 23:56:45+00:00,MMPconnect,"#cannabis #marijuana #thc #cannabiscommunity Biden Plans to Pardon Federal Marijuana Offenders Courtesy of Gage Skidmore (Flickr CC0)
President Joe Biden recently announced plans to pardon marijuana offenders on the federal level. Many advocates wonder https://t.co/W1DZprAS61 https://t.co/Icn50QWFci","['cannabis', 'marijuana', 'thc', 'cannabiscommunity']",
6,2022-10-14 23:56:43+00:00,MMPconnect,"#cannabis #marijuana #thc #cannabiscommunity Recreational Marijuana Measure Will Not Appear On November Ballot The Oklahoma Supreme Court settled the final challenge to the petition for legalizing recreational marijuana, clearing it for voter approval. https://t.co/gHKL7vZADJ https://t.co/1WHBKk1hxy","['cannabis', 'marijuana', 'thc', 'cannabiscommunity']",
7,2022-10-14 23:55:36+00:00,treasurbite,"Weed &amp; Design. 

New work for @nytimes 

Photos @treasurbite 
represented by @thedenatbigleo 

#cannabis #dispensaries #interiordesign

https://t.co/AjKvSBwEGE","['cannabis', 'dispensaries', 'interiordesign']",Los Angeles
8,2022-10-14 23:55:24+00:00,CANNABISGROWER5,"Round 2! ""LITE""!
#MMEMBERVILLE #420LIFE #WEEDFAM #MARIJUANA https://t.co/oIHk6z1XOk","['MMEMBERVILLE', '420LIFE', 'WEEDFAM', 'MARIJUANA']",
9,2022-10-14 23:55:09+00:00,JohnathanPerk,"Multiple studies have show Black, Brown and white people use and sell cannabis at similar rates—if anything, whites actually tend to use a bit more.

Yet, Black people are more likely to face cannabis charges. Simply put, the substance’s use has long been legal for white people.",,"Los Angeles, CA"
10,2022-10-14 23:54:22+00:00,TheGreenhorn3,"Trick Or Treat! We've got 'em, come put some in your treat bag (just don't make us smell your feet).🤪

#trickortreatbutforadults #weed #smoke #cannabis #greenhornvernonbc https://t.co/lUIRHb1RkE","['trickortreatbutforadults', 'weed', 'smoke', 'cannabis', 'greenhornvernonbc']",Vernon B.C.
11,2022-10-14 23:54:03+00:00,BenzingaMedia,"Landlord Stigma, High Demand, Lack Of Retail Space, Obstacles Facing New Mexico's Cannabis Market - https://t.co/DuaoSFINGB",,
12,2022-10-14 23:53:57+00:00,keepaustinweed,Cannabis Consumption Lounge applications now being accepted https://t.co/wC4bUUJZYp,,Austin Texas 
13,2022-10-14 23:53:39+00:00,TFPdaily,Cannabis Stocks Rocket To A Record Day After Biden Lights The Fuse: Expert Comment https://t.co/B1EGlYqZXI,,
14,2022-10-14 23:53:36+00:00,politicalHEDGE,Cannabis Stocks Rocket To A Record Day After Biden Lights The Fuse: Expert Comment https://t.co/CVddNZP4Hg,,Everywhere
15,2022-10-14 23:51:14+00:00,CBDSmokeShop,"#edibles #cbdoil 
#cannabiscommunity Take Your Game to the Next Level With Our Premium #CBD Sports Cream

For athletes, or anyone on the move, this premium blend of menthol, camphor, and full spectrum CBD is crafted to provide deep and https://t.co/nfzq0xyVQ7 #cannabis #hemp https://t.co/yP9FVICnE5","['edibles', 'cbdoil', 'cannabiscommunity', 'CBD', 'cannabis', 'hemp']",
16,2022-10-14 23:51:13+00:00,CBDSmokeShop,"#edibles #cbdoil 
#cannabiscommunity Full Spectrum #CBD Infused Watermelon Slices use natural CBD #hemp extract and deliver yummy CBD gummy taste. CBD Gummies are the #1 choice for many people wanting to take CBD oil …

um Yum Gummies 1500mg https://t.co/HdHHbzQelL #cannabis https://t.co/SZzW7RqASz","['edibles', 'cbdoil', 'cannabiscommunity', 'CBD', 'hemp', 'cannabis']",
17,2022-10-14 23:51:11+00:00,CBDSmokeShop,"#edibles #cbdoil 
#cannabiscommunity Yum Yum Gummies 1500x #CBD Infused Peach Rings use natural CBD #hemp extract and deliver yummy CBD gummy taste. CBD Gummies are the #1 CBD choice for many people wanting to take CBD oil (cannabidiol) ...
Yum https://t.co/gbcr1OOAvN #cannabis https://t.co/gtxoHNDkk9","['edibles', 'cbdoil', 'cannabiscommunity', 'CBD', 'hemp', 'cannabis']",
18,2022-10-14 23:50:36+00:00,KatMurti,"President Biden’s recent pardon released ZERO federal cannabis prisoners.

@ssdpofficial &amp; @lastprisonerprj are demanding he follows through on campaign promises and SETS THEM FREE. 

Join us: https://t.co/VgjYbeyUYe

#LibertyCon22 #LibertyCon https://t.co/8Q1qdet5GZ","['LibertyCon22', 'LibertyCon']","Washington, D.C."
19,2022-10-14 23:50:34+00:00,Cannabid,Does Cannabis Boost the Analgesic Benefits of Opioids? - A Canadian Study Sheds Light on Dual Cannabis and Opioid Patients https://t.co/mXj2LqBRgp,,Europe
20,2022-10-14 23:50:32+00:00,themomcode,"Parental Cannabis Use, Negative Parenting, and Behavior Problems of Young Children https://t.co/m7COjacCha",,Bellingham
21,2022-10-14 23:47:30+00:00,RANDCorporation,"Legalizing cannabis, the Russian nuclear threat, digital offshoring.

Learn about these topics and more in our new episode of the #PolicyCurrents podcast: https://t.co/7LvtNVg2Ft",['PolicyCurrents'],"Santa Monica, California"
22,2022-10-14 23:47:28+00:00,aus_voter_bot,I'm in the age group 18-34 years. I'm female. I don't have a Bachelor's degree. I'm from WA. I favour retaining the Queen as head of state. Cannabis should be legal. High income tax discourages hard work. I voted Greens in 2019.,,Canberra
23,2022-10-14 23:47:20+00:00,OgunwatchNG,"Obi, Atiku, Tinubu snubbed as NDLEA debate cannabis legalization with Sowore on Twitter - Ogunwatch https://t.co/CGHG3UArxQ",,Nigeria
24,2022-10-14 23:47:00+00:00,LegalizedNews,This Week in Cannabis Investing: Booker Shows Support for SAFE Banking Act - Kiplinger's Personal Finance https://t.co/uyCtim6keL,,
25,2022-10-14 23:46:54+00:00,DonPorrero,"#CannabisNews #International Eden Pharma acquires 5,000-acre site in Uganda for cannabis research and production https://t.co/Y07tzklDWF","['CannabisNews', 'International']",Detrás de ti.
26,2022-10-14 23:46:48+00:00,lytleking1,"B4 you legalise cannabis in this country,
Please build more mental health hospital..

Make dem no Dey waka for road Dey knock for gate for night.
@officialEFCC",,festac town lagos
27,2022-10-14 23:46:40+00:00,ganja_seeds,Or check out https://t.co/yxRmp3F1EJ || Respect My Region and House of Cultivar Debut '7 Days A Week' Strain At Select Dispensaries In Washington State - EIN News https://t.co/UuJoAAwZNW #cannabisnews #cannabiscommunity #cannabis #haze #kush,"['cannabisnews', 'cannabiscommunity', 'cannabis', 'haze', 'kush']",uk
28,2022-10-14 23:46:35+00:00,420BeepBoop,Popcorn Lemon is a rare sativa made from crossing Sierra Dimension and Redding Jilly. Its resin-covered buds fill the room with scents of guava and broccoli. It leaves you feeling focused. It was awarded the 2001 Prince Edward Island Cannabis Fest.,,
29,2022-10-14 23:46:25+00:00,dredpiraterobn,"Are we seriously going to revive the ""candies with razor blades"" fear mongering, while also using it stealthily oppose release of those arrested for cannabis possession? https://t.co/lKfV4zXuLt",,Wisconsin
30,2022-10-14 23:46:09+00:00,sweet_teeeeeex3,Nah my neck hurts so bad. I can’t wait until the girls go to bed.,,maryland 
31,2022-10-14 23:45:46+00:00,DonPorrero,#Cannabis #News #Kentucky Kentucky Governor Exploring State Weed Pardons https://t.co/u4BwFndoez,"['Cannabis', 'News', 'Kentucky']",Detrás de ti.
32,2022-10-14 23:45:01+00:00,BKLYNlibrary,"The legal Cannabis Industry in New York is starting to come to life! Check out these free weekly programs, presented by volunteer lawyers, to get information on resources and support to help you start a small business in the cannabis industry! https://t.co/w6DDzrAT4S",,"Brooklyn, NY"
33,2022-10-14 23:44:39+00:00,KandiceOCNORML,Cannabis and Dementia https://t.co/G7ckLsRhJV via @YouTube,,"Orange County, CA"
34,2022-10-14 23:43:18+00:00,EquityBuyer,"***The Leader in the Cannabis Space is***
AmericanCannabisCompany $AMMJ

At this price we are buying it urp!! you should too anything under $.20 is a great buy.

Our Price Target on AMMJ is $.70 to $1.00
#Cannabis https://t.co/40sK1PWWFe",['Cannabis'],USA
35,2022-10-14 23:43:02+00:00,sweet_teeeeeex3,How do you end up being the bad guy when all you’re tryna do is help?,,maryland 
36,2022-10-14 23:41:10+00:00,hellebore001,inhale cannabis at 24 hour intervals,,Outer Heaven
37,2022-10-14 23:40:40+00:00,Joeanthony_nyc,#Hope #USA #Nixon #WarOnDrugs a gift to #Blacks post #CivilRights Act reinstated #Prohibition failed policy that targeted #Whites deemed a failure after 13yrs as more drank #alcohol per capita &amp; ensued BlackMarket crime-#Cannabis #Marijuana should be removed as Schedule 1 Drug https://t.co/xCFIlqlvRb,"['Hope', 'USA', 'Nixon', 'WarOnDrugs', 'Blacks', 'CivilRights', 'Prohibition', 'Whites', 'alcohol', 'Cannabis', 'Marijuana']",#StGeorge~#StatenIsland~#NYC
38,2022-10-14 23:39:39+00:00,dollyvparto,Designated spliff rolerrr,,
39,2022-10-14 23:39:13+00:00,TokingTimes,District leaders don’t want to have to respond to Congress to shape their #cannabis policies. https://t.co/EfcALxPCtD,['cannabis'],"Boulder, Colorado"
40,2022-10-14 23:39:04+00:00,TheParadiseNg,7 Most Famous Actors that Consume Cannabis https://t.co/8nWl2n5cq5,,Woldwide
41,2022-10-14 23:38:50+00:00,marijuanacomau,"If you're investing in a state of the art medical cannabis cannabis grow because you think patients can't grow weed at the same or better than the pharmaceutical quality being touted by many of the listed companies, I have some terrible news for you.😏 #PotStocks",['PotStocks'],Australia
42,2022-10-14 23:37:48+00:00,rtoptrees,"Weird weed OCD anxiety

#marijuana #cannabis #delta8 #weed #cbd
#kush #ganja #weedlife #weedsmokers
#weedcommunity

https://t.co/LOLUN9A5JW","['marijuana', 'cannabis', 'delta8', 'weed', 'cbd', 'kush', 'ganja', 'weedlife', 'weedsmokers', 'weedcommunity']",
43,2022-10-14 23:37:39+00:00,cannalab1,"Sorry, But Cannabis Legalization Means Regulation, Not ‘Do As You Please’ https://t.co/zgPjl6JgrN vía @high_times_mag",,"Bogotá, D.C., Colombia"
44,2022-10-14 23:37:34+00:00,sweet_teeeeeex3,I want another tattoo lmao. End of this month. What should I get??,,maryland 
45,2022-10-14 23:36:30+00:00,Legalisecanabo,Those of us who remember Robbie Coltrane from Edinburgh's Meadow Bar and other venues will miss him.,,"Scotland, United Kingdom"
46,2022-10-14 23:36:26+00:00,vjizzle23841,"Hey! Check out my new video on YouTube.

 HARVEST TIME - Ethos Cherry Gar-See-Ya, Planet of the Grapes, W.Widow, Skywalker + Zweet -Optic P. 9
 I am a Legal Medical Cannabis Grower and User.  Nothing is for sale or trade so please don’t ask.

All the lig… https://t.co/RUsgh3IxyA https://t.co/HXMYTcmbCr",,USA
47,2022-10-14 23:36:11+00:00,CitizenBomber,"Pardon Kiwi cannabis convicts? Yes, we can. | Chris Fowlie - The Daily Blog https://t.co/xAnzlJWCws

#nzpol https://t.co/weKdA27Mto",['nzpol'],New Zealand
48,2022-10-14 23:35:52+00:00,Joeontheloose,"Legalise pot? It’s high time, says ex-stockbroker Michael. But do others agree? &gt;&gt; https://t.co/vf4XekQ4vs - Medicinal use of #cannabis is now legal nationwide. Is it just a matter of time before recreational pot-smoking follows suit? #auspol #weed #marijuana #LegalizeIt https://t.co/vSp3ZBCJzR","['cannabis', 'auspol', 'weed', 'marijuana', 'LegalizeIt']",Sydney (Unceded Gadigal Land) 
49,2022-10-14 23:35:38+00:00,AlinaBirsu,Petaluma designer brings cannabis into home decor https://t.co/8otXS4wmmD,,
50,2022-10-14 23:35:16+00:00,NLS_cannabis,"Who said your accessories can't also double as decor?

@brntgroup Prism is inspired by LED art, deflecting light in two positions to provide a signature visual experience that’s unlike any pipe you've seen before. #Mmemberville https://t.co/xASvgmohfr",['Mmemberville'],"Leduc, Alberta"
51,2022-10-14 23:35:00+00:00,donkoclock,"Skipper is a Cannabis Connoisseur on the Left for sure! @19059787714 is a Retired Union Steamfitter, Hockey Player, and Tree Hugger! ANTI MAGA! He just broke 1,000 followers &amp; was a super active participant on a list! Think #DonksFriends that missed that list will enjoy him too! https://t.co/emlA9Yqafw",['DonksFriends'],USA 
52,2022-10-14 23:33:33+00:00,NewsBudz,"Only One In Four Republicans Admit Marijuana Laws Are Enforced Unfairly Against People Of Color, Poll Finds https://t.co/5Z6fbAZAWC #cannabis https://t.co/NnPgUUK4EV",['cannabis'],"Philadelphia, PA"
53,2022-10-14 23:32:45+00:00,doyenneduenna,I’ve been doing so well eating healthy and here goes my dad talking about some Pizza Hut smh,,nyc
54,2022-10-14 23:32:21+00:00,testtubeone,"Police discretion = discrimination.
We're still being arrested and prosecuted.
Petition (2 days left to sign):
Stop the police arresting and prosecuting people for cannabis offences.
https://t.co/yZi4gYpl0A https://t.co/3NaWs3nfLq",,Aotearoa (New Zealand)
55,2022-10-14 23:32:08+00:00,ECAdmv,"Here's How Long a Cannabis High Actually Lasts, According to Science #ecadmv 

https://t.co/CkSKME8iYr",['ecadmv'],"Washington, DC"
56,2022-10-14 23:32:05+00:00,SecurityKit,"#Police have uncovered a huge cannabis factory after being called to a flat fire on Tuesday, September 27.
Emergency services rushed to...
#Simply #security
🔗 https://t.co/DEl4TXtl6e https://t.co/oaYacaZc2g","['Police', 'Simply', 'security']",London
57,2022-10-14 23:31:47+00:00,KatHarris38,PSA PSA PSA to any celebrity thinking ab getting into cannabis... Unless u smoke. dont waste ur time.,,"Los Angeles, CA"
58,2022-10-14 23:31:46+00:00,TheGrowthOp,Legalizing cannabis led to increased cannabis poisonings in Canadian children. It could get a whole lot worse https://t.co/kF9GkvCn9O,,"Toronto, Ontario"
59,2022-10-14 23:31:42+00:00,Bill_Flood,"There is a lack of female representation in the cannabis industry and in cannabis research, which may change as the country continues to legalize its usage, the report said. https://t.co/kP73bCIjNX",,"Portland, CT"
60,2022-10-14 23:31:20+00:00,LauraAn81179709,President Biden please address this question that dispensaries are selling cannabis but yet you can’t release the cannabis sellers in federal prison however you did pardon the ones smoking!!!  No one should be in prison for cannabis regardless of smoking or selling🌿🌱 https://t.co/DveFG0ZWZb,,"St Louis, MO"
61,2022-10-14 23:31:01+00:00,theliveusa,Legal Grass Isn’t Always Greener for Cannabis Companies https://t.co/eqpyw9EQD7,,united states
62,2022-10-14 23:30:31+00:00,PabstLabs,"New!!!! PBR Energy Guava. 

This seltzer features 10mg THC and 5mg THCv. THCv can work wonders if you need to be a bit more focused, alert and perfect when you need need an energy boost.

Now available in CA dispensaries. https://t.co/G7AOZI8nWL https://t.co/KxvYUTmKoX",,"California, USA"
63,2022-10-14 23:30:30+00:00,cannabizarena,"The corner of my mini cannabis 
I have received the seeds from @Wearewewill your investment is not wasted 💚 #cannabisculture #rookieGrower https://t.co/DbfkjVsshJ","['cannabisculture', 'rookieGrower']","Bangkok, Thailand"
64,2022-10-14 23:30:14+00:00,doyenneduenna,Nobody at all: me every 5 minutes: bitch who the fuucccckkkkk 😂,,nyc
65,2022-10-14 23:30:12+00:00,LeafyCulture,Kamala Harris’ Record on #Marijuana as a Prosecutor Is Back in the Spotlight. Get all the latest news and insights at https://t.co/GPUzwiz4TY #cannabis #hemp #weed https://t.co/Uv1TnwMxQB,"['Marijuana', 'cannabis', 'hemp', 'weed']",
66,2022-10-14 23:30:06+00:00,HermosaBchCity,"The City of Hermosa Beach provided an informational report to the City Council at its October 11th meeting that outlined the policy, safety and health considerations of the cannabis-industry supported initiative, Measure M, 1/2 https://t.co/293IVNwtDv",,"Hermosa Beach, CA"
67,2022-10-14 23:30:04+00:00,WAAYTV,"There could still be obstacles for those who wish to use medical cannabis, however. https://t.co/fOlTauVNtP",,"Huntsville, AL"
68,2022-10-14 23:30:02+00:00,nunyabu52453435,"What is your favorite thing to watch on the web and why? mine is @Timcast because I get everything I like. Popculture, inverted world, chicken city(torchers my evil cat) CastCastle...news comedy entertainment. my 2nd anything cannabis related lol just curious.",,
