Date,User,Tweet,Hashtags,Location,Mentioned User,Key Word,Reply Count,like Count,Retwet Count,Followers Count
2022-09-25 16:04:11+00:00,AquaBlueLounge,"Yes, Free Griner as no one should be in prison for medicinal cannabis use and freedom to travel with that medicine! 

Let me suggest small detox clinics with housing on upper floors. Oregon decriminalized drugs but did NOT build detox or treatment facility as voters voted for. https://t.co/8S0rkm6Qps",,"Portland, OR",,medicinal cannabis,0,3,0,579
2022-09-15 00:24:16+00:00,But_A_Cake,"I found my medicinal cannabis professional with an understanding of the pediatric world!!!!!! 

THANK UOU @BzCannabis #bzcannabis",['bzcannabis'],"Jersey City, NJ","[User(username='BzCannabis', id=1100809549383114752, displayname='Benzinga Cannabis', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",medicinal cannabis,0,10,0,467
2022-09-11 12:21:26+00:00,But_A_Cake,"I’d love to talk to a pediatrician that has experience in medicinal cannabis for children 

#Pediatrician #Pediatrics #cannabisindustry","['Pediatrician', 'Pediatrics', 'cannabisindustry']","Jersey City, NJ",,medicinal cannabis,0,2,0,467
2022-08-27 15:00:20+00:00,OhioGreenTeam,"#Cannabis has a laundry list of #Medicinal uses. Many studies have concluded that the risk of #Overdose from #Opioids can be reduced by replacing #PainKillers with #MMJ. 

#Marijuana #NoMorePills #LegalizeWeed #GreenTeamDoctors #THC #HempLaws #CBD https://t.co/WiSiy24w9e","['Cannabis', 'Medicinal', 'Overdose', 'Opioids', 'PainKillers', 'MMJ', 'Marijuana', 'NoMorePills', 'LegalizeWeed', 'GreenTeamDoctors', 'THC', 'HempLaws', 'CBD']",Throughout Ohio via Telemed!,,medicinal cannabis,0,7,1,27487
2022-08-21 17:20:49+00:00,UCSDAnes,"Dr. Tim Furnish present a thorough overview of the past, present and future of medicinal cannabis.

#UCSDAnesUpdate22 https://t.co/7dniYwgmNQ",['UCSDAnesUpdate22'],"San Diego, CA",,medicinal cannabis,0,5,2,214
2022-08-05 02:10:08+00:00,MaryJaneIsMyGod,“All cannabis usage is medicinal”,,"Oxford, PA",,medicinal cannabis,0,2,0,87
2022-07-31 21:15:02+00:00,JoseLemePhD,"Taking a happy ride up the hill with the APEPI employees to check the cannabis flowering area. The feeling of helping people to have a better life is awesome! 

#apepi #familiaapepi #thisissiu #siuc #siu #cannabidiol #cannabis #medicinalcannabis #hemp #southernillinois https://t.co/i9I6Y1RJlL","['apepi', 'familiaapepi', 'thisissiu', 'siuc', 'siu', 'cannabidiol', 'cannabis', 'medicinalcannabis', 'hemp', 'southernillinois']","Carbondale, IL",,medicinal cannabis,0,3,0,50
2022-07-27 11:10:05+00:00,UgochiKHOU,"HAPPENING TODAY: Houston native basketball star Brittney Griner is expected to take the stand in a Russian court. Yesterday her attorneys explained that cannabis, while illegal in Russia, is recognized in other countries as having medicinal use. On-air now @KHOU following this. https://t.co/eSjhRthmZf",,"Houston, TX","[User(username='KHOU', id=15791186, displayname='KHOU 11 News Houston', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",medicinal cannabis,7,19,10,3646
2022-07-26 01:27:29+00:00,KevinLCarrillo,Cannabis is federally illegal because of its high medicinal value.,,"Dallas, TX",,medicinal cannabis,1,42,6,4391
2022-06-22 18:01:56+00:00,JMilesKHOU,Said to be the first of its kind in Houston.. @TexasOriginalCC just opened this brick and mortar medicinal marijuana pickup store. I’ll take you inside and have more on who qualifies for such cannabis: @KHOU at  4:00 + 6:00 #khou11 https://t.co/q4zd2l5TnO,['khou11'],"Houston, TX","[User(username='TexasOriginalCC', id=907331188255285249, displayname='Texas Original', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='KHOU', id=15791186, displayname='KHOU 11 News Houston', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",medicinal cannabis,1,36,10,11752
2022-06-15 00:44:49+00:00,RobbinsGroupLLC,"Learn about Terpinene

Terpinene is a minor #terpene that has demonstrated antibacterial and antioxidant medicinal efficacy. This monoterpene is produced by betel, #cannabis, cardamom, eucalyptus, juniper, marjoram, peppermint, tea tree, and #verbena. https://t.co/vXJI5g6YtI","['terpene', 'cannabis', 'verbena']","Las Vegas, NV",,medicinal cannabis,0,5,1,12855
2022-10-08 19:08:35+00:00,itsamoopoint318,#AskingAutistics Do any of you use medicinal marijuana or recreational marijuana for your anxiety and other treats? Does it help at all? I’ve been seeing some people talking about it and I’m curious. #ADHD #ActuallyAutistic #AuDHD #marijuana,"['AskingAutistics', 'ADHD', 'ActuallyAutistic', 'AuDHD', 'marijuana']","Tampa, FL",,medicinal marijuana,40,58,4,166
2022-10-06 23:02:46+00:00,SoloCeesay,"decades after the medicinal benefits of marijuana have been known, let alone other uses

change takes a long time ladies and gentlemen so let this be a lesson to all you web3 junkies out there.. we have a long way to go but the journey is surely worth it https://t.co/8fpgdJIn8x",,"Los Angeles, CA",,medicinal marijuana,1,14,2,4036
2022-10-02 18:20:28+00:00,Toxaris13,Yes. Marijuana needs to be supported at the federal level. It has to be taken away from states to decide whether they will allow it or not. They need to allow both recreational &amp; medicinal. Plus stop the cycle of jailing people for possession. Wiping slates clean for past records https://t.co/fXnVVQXJrB,,"Lake Texoma, Tx",,medicinal marijuana,0,4,1,6340
2022-08-27 15:00:20+00:00,OhioGreenTeam,"#Cannabis has a laundry list of #Medicinal uses. Many studies have concluded that the risk of #Overdose from #Opioids can be reduced by replacing #PainKillers with #MMJ. 

#Marijuana #NoMorePills #LegalizeWeed #GreenTeamDoctors #THC #HempLaws #CBD https://t.co/WiSiy24w9e","['Cannabis', 'Medicinal', 'Overdose', 'Opioids', 'PainKillers', 'MMJ', 'Marijuana', 'NoMorePills', 'LegalizeWeed', 'GreenTeamDoctors', 'THC', 'HempLaws', 'CBD']",Throughout Ohio via Telemed!,,medicinal marijuana,0,7,1,27486
2022-08-09 17:12:11+00:00,mbaharaeen,"Interestingly, Missouri already has some of the most liberal marijuana laws in the country—it is both legal for medicinal use and decriminalized otherwise. If this passes, it will join AK and MT as the only Trump states where it is fully legal. https://t.co/Tv4848Mndy",,"Washington, DC",,medicinal marijuana,4,7,1,353
2022-07-27 20:33:24+00:00,CherlynnForKY,"This past week, I was once again a hole sponsor for the Kentuckians for Medicinal Marijuana Golf Scramble. These fine people have such a pure heart for the hurting, and are amazing advocates for patients in need in Frankfort. https://t.co/kpeRlqmFKN",,"Lexington, KY",,medicinal marijuana,2,28,7,3620
2022-06-22 18:01:56+00:00,JMilesKHOU,Said to be the first of its kind in Houston.. @TexasOriginalCC just opened this brick and mortar medicinal marijuana pickup store. I’ll take you inside and have more on who qualifies for such cannabis: @KHOU at  4:00 + 6:00 #khou11 https://t.co/q4zd2l5TnO,['khou11'],"Houston, TX","[User(username='TexasOriginalCC', id=907331188255285249, displayname='Texas Original', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='KHOU', id=15791186, displayname='KHOU 11 News Houston', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",medicinal marijuana,1,36,10,11752
2022-07-10 03:33:31+00:00,RobbinsGroupLLC,"“This study noted changes in endocannabinoids (primarily #anandamide and 2-AG) resulting from the ongoing consumption of hemp- or #cannabis-derived phytocannabinoids such as #CBD and THCV.”

#LearnAndTeachOthers™ https://t.co/xNEWOZOkMa","['anandamide', 'cannabis', 'CBD', 'LearnAndTeachOthers']","Las Vegas, NV",,endocannabinoids,4,4,2,12855
2022-07-07 23:07:14+00:00,RobbinsGroupLLC,"Runner's High Results from Endocannabinoids, Not Endorphin 
 https://t.co/sfjfJnOFnp",,"Las Vegas, NV",,endocannabinoids,1,12,6,12855
2022-07-01 01:51:24+00:00,RobbinsGroupLLC,"This study noted changes in endocannabinoids (primarily #anandamide and 2-AG) resulting from the ongoing consumption of hemp- or #cannabis-derived phytocannabinoids such as #CBD and THCV.

#LearnAndTeachOthers™ https://t.co/xNEWOZOkMa","['anandamide', 'cannabis', 'CBD', 'LearnAndTeachOthers']","Las Vegas, NV",,endocannabinoids,0,3,0,12855
